,time_step,outcome_type,outcome,stimulus,stage,exp_outcome,go_Q_lick,go_Q_nolick,nogo_Q_lick,nogo_Q_nolick,go_Q_lick_ql,go_Q_nolick_ql,nogo_Q_lick_ql,nogo_Q_nolick_ql,alpha,Q_PE,go_P_lick,go_P_nolick,go_P_lick_ql,go_P_nolick_ql,nogo_P_lick,nogo_P_nolick,nogo_P_lick_ql,nogo_P_nolick_ql,motivation
137,[718561],C1S6,1,1,uncertain,1,0.7383743261715151,0.04793706898283059,0.02561882103178313,0.03899499693148716,1.7256110370028264,0.6610845562228,0.0036800000000000027,0.9990717351878254,0.00015262971873630587,0.27263957120952464,0.7511396351803772,0.24886036481962284,0.8459577326973955,0.15404226730260456,0.49464973385845395,0.5053502661415461,0.16901464880348332,0.8309853511965166,1.0
138,[727913],C1S9,3,0,uncertain,2,0.7488225852877965,0.04793706898283059,0.02561882103178313,0.03899499693148716,1.7430499333025438,0.6610845562228,0.0036800000000000027,0.9990717351878254,0.03993590905428888,0.2616256738284849,0.7542514285572146,0.24574857144278542,0.8495587690187615,0.1504412309812385,0.49464973385845395,0.5053502661415461,0.16901464880348332,0.8309853511965166,0.0
139,[738795],C1S9,3,0,uncertain,2,0.7488225852877965,0.04793706898283059,0.02561882103178313,0.039004305247762466,1.7430499333025438,0.6610845562228,0.0036800000000000027,0.9991645616690429,0.00015258283431029637,0.2616256738284849,0.7542514285572146,0.24574857144278542,0.8495587690187615,0.1504412309812385,0.4946460109585666,0.5053539890414334,0.16899379005553308,0.8310062099444668,0.0
140,[748254],C1S9,3,0,uncertain,2,0.7488225852877965,0.04793706898283059,0.02561882103178313,0.03901360986013239,1.7430499333025438,0.6610845562228,0.0036800000000000027,0.9992481055021386,0.00015254539533841535,0.2616256738284849,0.7542514285572146,0.24574857144278542,0.8495587690187615,0.1504412309812385,0.494642289540665,0.505357710459335,0.16897501893582034,0.8310249810641798,0.0
141,[763085],C1S6,1,1,uncertain,1,0.7488225852877965,0.04793706898283059,0.02561882103178313,0.03902291111571117,1.7430499333025438,0.6610845562228,0.0036800000000000027,0.9993232949519247,0.00015251362734291683,0.2616256738284849,0.7542514285572146,0.24574857144278542,0.8495587690187615,0.1504412309812385,0.49463856946591916,0.5053614305340808,0.16895812634832194,0.831041873651678,1.0
142,[771248],C1S6,1,1,uncertain,1,0.7586265899417497,0.04793706898283059,0.02561882103178313,0.03902291111571117,1.7587449399722894,0.6610845562228,0.0036800000000000027,0.9993232949519247,0.03903219031530553,0.25117741471220345,0.7571473922770672,0.24285260772293293,0.8527402073831524,0.1472597926168476,0.49463856946591916,0.5053614305340808,0.16895812634832194,0.831041873651678,1.0
143,[781259],C1S6,1,1,uncertain,1,0.7677750570538073,0.04793706898283059,0.02561882103178313,0.03902291111571117,1.7728704459750604,0.6610845562228,0.0036800000000000027,0.9993232949519247,0.037901718792678334,0.2413734100582503,0.7598287340376434,0.24017126596235658,0.8555557235271634,0.1444442764728366,0.49463856946591916,0.5053614305340808,0.16895812634832194,0.831041873651678,1.0
144,[791162],C1S9,3,0,uncertain,2,0.7762917971919044,0.04793706898283059,0.02561882103178313,0.03902291111571117,1.7855834013775542,0.6610845562228,0.0036800000000000027,0.9993232949519247,0.03667452785237856,0.23222494294619267,0.7623066608921186,0.23769333910788135,0.8580512986675138,0.1419487013324862,0.49463856946591916,0.5053614305340808,0.16895812634832194,0.831041873651678,0.0
145,[797950],C1S6,1,1,uncertain,1,0.7762917971919044,0.04793706898283059,0.02561882103178313,0.039032209223286304,1.7855834013775542,0.6610845562228,0.0036800000000000027,0.9993909654567322,0.00015248526529003893,0.23222494294619267,0.7623066608921186,0.23769333910788135,0.8580512986675138,0.1419487013324862,0.4946348506508234,0.5053651493491765,0.16894292416993728,0.8310570758300628,1.0
146,[807320],C1S9,3,0,uncertain,2,0.7842171544209368,0.04793706898283059,0.02561882103178313,0.039032209223286304,1.7970250612397989,0.6610845562228,0.0036800000000000027,0.9993909654567322,0.035427208879912866,0.22370820280809556,0.7645966720747136,0.23540332792528637,0.8602664543388293,0.13973354566117058,0.4946348506508234,0.5053651493491765,0.16894292416993728,0.8310570758300628,0.0
