,start_time,end_time,choice_type,reward_type,outcome,exp_outcome,Q_CP,Q_CG,Q_PE,epsilon,P_CP,P_CG,P_CP_sf,P_CG_sf,motivation
48,424.378,424.38,2.0,0.0,3,2,0.82627488942495,0.32794255812885764,0.4711362659830048,0.6729577871500256,0.5846416724017578,0.41535832759824215,0.7588096248008998,0.24119037519910025,-1.0
49,428.968,430.064,1.0,1.0,2,1,0.8316144050500536,0.3296553776976543,0.5072386263041518,0.4548816485671162,0.6419122687218135,0.35808773127818644,0.7603329503561689,0.2396670496438311,1.0
50,436.798,437.342,2.0,0.0,3,2,0.8313961073376974,0.32547079370600135,0.5240226393847043,0.3542142160908519,0.6691902934346773,0.3308097065653227,0.7619913563450008,0.23800864365499927,-1.0
51,441.569,444.403,1.0,1.0,2,1,0.8277057566417182,0.3088402126962973,0.5565147636737366,0.19578191962611013,0.7150052499473463,0.28499475005265373,0.7673469487870602,0.23265305121293967,1.0
52,451.626,453.133,1.0,0.0,1,1,0.8221289241737113,0.2923952550667267,0.5716203754462339,0.14301028260429904,0.7329123604265988,0.2670876395734013,0.7717796441413488,0.22822035585865116,1.0
53,459.183,461.514,2.0,0.0,3,2,0.8167806740118573,0.2759263769107754,0.4852154260414813,0.5913657882602248,0.6128865925901272,0.3871134074098728,0.7762534054833744,0.2237465945166256,-1.0
54,466.578,469.319,1.0,1.0,2,1,0.8177543252908783,0.269054440426368,0.5144583379016104,0.41060656282229024,0.664659951712187,0.33534004828781305,0.779371878486899,0.2206281215131009,1.0
55,476.65,479.224,2.0,0.0,3,2,0.8146780659926546,0.26720083232723985,0.5366938834373332,0.2854987520618114,0.699265791603306,0.30073420839669396,0.7788879546093452,0.22111204539065485,-1.0
56,483.629,484.264,1.0,1.0,2,1,0.810600760055045,0.27079851890978124,0.5630125041114493,0.17146035653032354,0.7285384563947384,0.27146154360526153,0.7758328562743089,0.22416714372569108,1.0
57,491.003,491.311,2.0,1.0,4,2,0.8059424447494309,0.2752816781182235,0.5830244950935998,0.11148986372681724,0.7418124807308846,0.25818751926911543,0.7721550051698415,0.22784499483015855,-1.0
58,497.769,498.508,1.0,1.0,2,1,0.8044379562361658,0.28330495996102767,0.5067112537003043,0.45815278695159534,0.6453649749057002,0.35463502509429967,0.7682766864996581,0.23172331350034187,1.0
59,506.528,509.789,1.0,1.0,2,1,0.8072435591325504,0.29268639121852724,0.5247220455842398,0.3502248189542503,0.6725628784885396,0.32743712151146037,0.7655732067371618,0.2344267932628382,1.0
